"","StuID","Tier","SchlID","TeachID","Tx","Cohort","Keep","Time","t","NWFcls","NWFwrc","ORFwc","SAwrS","SAsrS","SAtoS","RMwidRS","RMwdaRS","na"
"1",1,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,589,NA,NA,"miss"
"2",2,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,653,NA,NA,"miss"
"3",3,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,567,NA,NA,"miss"
"4",4,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,583,NA,NA,"miss"
"5",6,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,589,NA,NA,"miss"
"6",11,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,605,NA,NA,"miss"
"7",13,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,552,NA,NA,"miss"
"8",15,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,577,NA,NA,"miss"
"9",18,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,563,NA,NA,"miss"
"10",22,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,"miss"
"11",23,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,"miss"
"12",25,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,607,NA,NA,"miss"
"13",26,2,1,3,"tx",1,1,3,2,NA,NA,NA,NA,NA,587,NA,NA,"miss"
"14",249,2,4,23,"tx",1,1,3,2,NA,NA,NA,NA,NA,579,NA,NA,"miss"
"15",257,2,4,23,"tx",1,1,3,2,NA,NA,NA,NA,NA,541,NA,NA,"miss"
"16",270,2,4,24,"tx",1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,"miss"
"17",273,2,4,24,"tx",1,1,3,2,NA,NA,NA,NA,NA,571,NA,NA,"miss"
"18",276,2,4,24,"tx",1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,"miss"
"19",280,2,4,24,"tx",1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,"miss"
"20",288,2,4,24,"tx",1,1,3,2,NA,NA,NA,NA,NA,598,NA,NA,"miss"
"21",293,2,4,24,"tx",1,1,3,2,NA,NA,NA,NA,NA,549,NA,NA,"miss"
"22",294,2,4,24,"tx",1,1,3,2,NA,NA,NA,NA,NA,575,NA,NA,"miss"
"23",298,2,4,25,"tx",1,1,3,2,NA,NA,NA,NA,NA,613,NA,NA,"miss"
"24",300,2,4,25,"tx",1,1,3,2,NA,NA,NA,NA,NA,514,NA,NA,"miss"
"25",310,2,4,25,"tx",1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,"miss"
"26",311,2,4,25,"tx",1,1,3,2,NA,NA,NA,NA,NA,605,NA,NA,"miss"
"27",328,2,4,26,"tx",1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,"miss"
"28",334,2,4,26,"tx",1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,"miss"
"29",338,2,4,26,"tx",1,1,3,2,NA,NA,NA,NA,NA,598,NA,NA,"miss"
